,Date,"User acquisition (All users, All events, Per interval, Daily): All countries / regions",Notes,pull_date
509,17 Mar 2024,993,,2024-12-18
510,18 Mar 2024,"1,014",,2024-12-18
511,19 Mar 2024,"1,052",,2024-12-18
512,20 Mar 2024,"1,076",,2024-12-18
513,21 Mar 2024,"1,052",,2024-12-18
514,22 Mar 2024,"1,048",,2024-12-18
515,23 Mar 2024,"1,166",,2024-12-18
516,24 Mar 2024,"1,051",,2024-12-18
517,25 Mar 2024,"1,052",,2024-12-18
518,26 Mar 2024,"1,053",,2024-12-18
519,27 Mar 2024,"1,012",,2024-12-18
520,28 Mar 2024,"1,091",,2024-12-18
521,29 Mar 2024,"1,097",,2024-12-18
522,30 Mar 2024,"1,153",Roll-out of release: Started roll-out of 70 (1.6.6) at 100%.,2024-12-18
523,31 Mar 2024,"1,205",,2024-12-18
524,1 Apr 2024,"1,104",,2024-12-18
525,2 Apr 2024,954,,2024-12-18
526,3 Apr 2024,823,,2024-12-18
527,4 Apr 2024,754,,2024-12-18
528,5 Apr 2024,717,,2024-12-18
529,6 Apr 2024,679,,2024-12-18
530,7 Apr 2024,776,,2024-12-18
531,8 Apr 2024,706,,2024-12-18
532,9 Apr 2024,488,,2024-12-18
533,10 Apr 2024,741,,2024-12-18
534,11 Apr 2024,740,,2024-12-18
535,12 Apr 2024,750,,2024-12-18
536,13 Apr 2024,663,,2024-12-18
537,14 Apr 2024,737,,2024-12-18
538,15 Apr 2024,813,,2024-12-18
539,16 Apr 2024,902,,2024-12-18
540,17 Apr 2024,903,,2024-12-18
541,18 Apr 2024,899,,2024-12-18
542,19 Apr 2024,"1,114",Roll-out of release: Started roll-out of 71 (1.6.7) at 20%. Roll-out of release: Increased roll-out of 71 (1.6.7) to 100%.,2024-12-18
543,20 Apr 2024,"1,199",Roll-out of release: Started roll-out of 72 (1.6.7) at 100%.,2024-12-18
544,21 Apr 2024,"1,085",,2024-12-18
545,22 Apr 2024,"1,152",,2024-12-18
546,23 Apr 2024,"1,098",,2024-12-18
547,24 Apr 2024,"1,014",,2024-12-18
548,25 Apr 2024,955,,2024-12-18
549,26 Apr 2024,"1,112",,2024-12-18
550,27 Apr 2024,"1,034",,2024-12-18
551,28 Apr 2024,887,,2024-12-18
552,29 Apr 2024,912,,2024-12-18
553,30 Apr 2024,"1,063",,2024-12-18
554,1 May 2024,843,,2024-12-18
555,2 May 2024,768,,2024-12-18
556,3 May 2024,785,,2024-12-18
